Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.44%,74.85M,7.64%,1.46B,-,-0.87,2.17%,73.13M,12.01%,1.20B,-,-0.29,102.22%,9.64%,49.15%,-73.68M,11.90,47.33%,0.20%,11.37,52.09%,122.87M,4.35,-2.26%,-15.95%,7.05M,31.83%,4.44,5.19,5.70%,-19.89%,19.50 -1.03%,49.38%,3.72,-,26.71% 15.81%,-21.07%,9.03 113.73%,208.80%,-,-,41.95% 20.90%,89.52%,4.77%,4.12%,-52.53%,-,9.76,35.69%,-67.32%,0.76,-,-,7.69,95.94%,-59.96%,71.49,1.18,- -,7.69,106.06%,8.92%,1.49,25.70,-,0.06,153.21%,17.99%,2.78,18.47,286,0.05,Nov 06 AMC,40.81%,620.08K,19.30,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","1,662,992",4.49%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.48,1.01,11.53%,167.66M,-2.21%,7.71B,28.93,1.59,-1.72%,148.24M,-1.83%,8.07B,4.51,0.31,91.51%,3.81%,7.20%,174.00M,4.78,12.56%,-0.90%,5.35,34.71%,1.61B,4.93,10.42%,6.40%,5.65M,23.40%,9.33,38.20,10.08%,10.81%,48.42 -4.94%,26.80%,1.20,27.40,32.18% -7.41%,8.26%,27.74 65.93%,88.26%,0.37 (0.79%),22.48,19.81% -5.41%,41.82%,1.95%,1.95%,187.29%,0.36 (0.78%),5.00,30.64%,16.77%,0.98,419.75%,"Aug 20, 2025",1.72,4.74%,10.78%,47.39,2.44,3.23% 0.62%,2.71,12.98%,-1.05%,1.14,47.43,35.98%,0.36,7.89%,-0.74%,1.16,46.62,2500,0.35,Oct 28 AMC,18.51%,1.06M,46.03,"Mar 29, 2012",Yes / Yes,8.64% 2.88%,"

","1,228,007",-1.27%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,25.02,5.81,0.17%,443.95M,-0.47%,64.44B,21.06,6.90,-0.09%,442.41M,1.64%,69.80B,2.94,1.62,97.42%,1.97%,-2.28%,2.61B,6.87,7.24%,0.54%,2.95,-6.45%,9.38B,12.97,8.75%,18.24%,8.73M,-10.75%,11.21,44.91,8.51%,52.54%,184.40 -21.15%,-19.88%,3.24,29.04,8.55% 11.91%,25.07%,139.34 4.36%,-1.22%,1.99 (1.37%),17.42,5.98% 8.14%,70.03%,1.53%,1.81%,-9.78%,1.93 (1.33%),7.44,13.72%,37.51%,2.59,237.46%,"Oct 31, 2025",1.04,5.27%,27.83%,49.37,1.57,18.93% 21.14%,1.76,17.78%,0.47%,0.90,192.93,32.86%,1.36,4.19%,-1.67%,1.00,147.53,13800,1.09,Nov 04 BMO,-7.36%,2.96M,145.41,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","2,934,392",-1.44%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,13.15,1.46,0.00%,593.65M,1.10%,11.41B,11.30,1.70,-,593.65M,-1.79%,10.43B,1.67,0.35,14.67%,3.02%,-3.80%,1.21B,1.78,-0.84%,-8.59%,9.92,2.40%,6.42B,1.72,13.47%,9.38%,17.93M,-1.69%,11.20,3.08,7.85%,13.98%,24.73 -22.28%,-21.93%,6.24,-,18.24% 8.45%,13.37%,16.34 17.63%,-9.19%,0.62 (3.25%),5.66,9.28% 13.97%,27.49%,1.27%,1.99%,-35.13%,0.65 (3.38%),1.63,2.41%,21.97%,0.40,-,"Sep 30, 2025",1.19,14.40%,18.81%,54.14,1.44,- -,1.21,-25.19%,1.08%,-0.19,23.36,45.76%,0.29,10.45%,1.37%,0.48,19.36,24471,0.01,Nov 19 AMC,1.53%,1.81M,19.22,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","862,884",-0.72%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,158.30M,6.00%,52.08B,74.92,4.39,-0.57%,99.38M,10.80%,50.30B,-,0.86,53.40%,5.40%,14.34%,-41.48M,19.48,11.37%,-1.63%,3.48,46.96%,2.67B,28.94,20.21%,-0.75%,5.37M,82.35%,11.37,14.58,18.02%,-2.70%,327.71 0.39%,78.86%,22.57,71.66,54.06% 21.31%,-1.17%,164.78 99.65%,118.62%,-,32877.11,34.81% 44.03%,76.82%,2.42%,2.94%,124.02%,-,18.82,31.04%,-4.48%,8.92,-,-,1.94,23.31%,-1.55%,68.74,1.65,- -,1.94,-14.36%,6.25%,1.06,326.07,-,1.00,21.31%,12.45%,0.70,326.33,7923,0.97,Sep 02 AMC,29.69%,1.54M,328.98,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,087,103",0.81%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,22.36,3.80,11.19%,267.28M,1.53%,25.41B,14.32,5.93,-0.99%,265.81M,1.54%,17.67B,5.36,1.44,64.70%,2.05%,14.35%,1.19B,5.34,5.55%,0.40%,1.74,9.46%,4.75B,2.85,1.35%,11.03%,5.44M,4.02%,29.82,3.26,4.17%,13.60%,92.80 -8.52%,16.83%,26.02,13.77,-10.66% 106.45%,13.23%,64.41 31.80%,4.83%,-,15.02,4.40% 49.60%,76.38%,2.07%,2.44%,-83.46%,-,3.72,36.57%,20.43%,2.01,-,-,4.36,3.63%,24.99%,60.28,2.26,- -,4.36,66.82%,4.14%,0.79,92.80,0.00%,0.01,4.71%,3.53%,0.75,85.17,7412,0.00,Aug 21 AMC,8.06%,3.12M,84.89,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","2,329,975",-0.33%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.04%,109.91M,-12.83%,2.83B,88.83,0.29,-17.87%,109.00M,-22.84%,2.19B,-,-0.29,37.43%,4.41%,-34.12%,-212.37M,6.61,46.01%,-3.74%,6.80,-20.19%,427.80M,3.53,120.38%,-19.74%,4.81M,-2.98%,7.20,3.40,-,-28.39%,44.34 -42.69%,-23.42%,7.48,-,30.02% -3.16%,-26.45%,23.82 6.68%,-11.43%,-,-,40.31% 98.33%,62.39%,4.13%,3.76%,-70.14%,-,5.11,33.47%,-57.71%,1.30,-,-,2.93,32.38%,-49.64%,27.37,1.27,- -,3.12,54.50%,-16.01%,1.05,52.90,-,0.24,9.81%,-19.66%,2.00,26.34,1869,0.01,Nov 06 BMO,-22.31%,707.36K,25.41,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","1,411,663",-3.53%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,-3.40%,7.43B,14.02,2.07,-,-,-0.96%,10.92B,-,-0.23,4.30%,-,1.58%,-462.32M,0.59,56.26%,0.03%,0.92,33.27%,12.55B,-,222.69%,-7.04%,0.52M,2.18%,-13.26,5.21,-,-,33.32 -12.96%,25.49%,5.56,-,5.46% -,-,17.91 61.92%,-,-,-,118.43% 118.66%,18.90%,2.90%,2.34%,-,-,0.87,62.51%,-4.64%,0.86,-,-,0.49,39.14%,-3.68%,46.52,1.00,- -,0.59,82.59%,-1.87%,0.03,35.47,-,-,37.06%,-1.87%,0.58,29.05,17439,-,Nov 17 BMO,7.39%,559.06K,29.00,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","325,550",-0.17%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.35,5.59,1.55%,147.64M,-0.87%,7.71B,8.67,6.02,-0.12%,145.36M,-8.35%,-,1.06,1.56,79.33%,4.79%,-3.63%,826.00M,1.56,16.70%,0.30%,3.76,15.42%,4.95B,1.13,4.26%,0.96%,6.96M,-3.71%,46.05,-,8.79%,12.75%,63.22 -17.37%,0.11%,-,9.63,-9.99% 3.54%,9.91%,39.32 32.86%,9.24%,1.76 (3.36%),-,19.10% 8.98%,-,2.46%,3.54%,73.79%,1.74 (3.33%),-,27.77%,22.37%,1.91,84.20%,"Aug 14, 2025",-,0.12%,16.70%,44.63,2.70,4.85% 5.34%,0.14,7.81%,-2.69%,0.94,61.95,33.52%,0.76,-2.03%,-6.15%,1.05,52.85,9406,0.21,Oct 20 AMC,0.01%,1.85M,52.24,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,926,761",-1.15%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.89,16.63,1.18%,120.46M,8.72%,1.79B,-,-3.41,0.00%,119.04M,8.96%,5.93B,-,0.84,53.57%,19.85%,-6.96%,2.00B,0.21,-83.48%,3.13%,4.85,0.75%,8.58B,0.46,-215.75%,19.27%,23.62M,-30.93%,32.35,1.01,-,59.06%,29.00 -48.86%,-31.96%,14.72,0.55,-23.79% -,23.31%,11.03 34.39%,-34.64%,1.04 (7.05%),1.60,-7.73% 20.63%,32.33%,3.53%,3.64%,-,6.78 (45.72%),0.69,202.12%,28.74%,0.55,-,"Sep 02, 2025",1.11,43.57%,23.37%,63.09,3.78,16.67% -,1.20,-93.86%,9.13%,1.65,13.38,22.25%,1.52,-15.36%,6.64%,1.19,14.35,6700,1.21,Aug 20 BMO,-7.83%,4.87M,14.83,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","5,755,419",3.34%,ZIM
