Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,41.37,0.71,15.99%,172.26M,-1.82%,5.04B,22.47,1.30,-15.45%,145.09M,-6.80%,124.20M,2.90,0.31,84.40%,2.85%,-9.38%,1.53B,3.29,20.75%,5.97%,4.52,-0.78%,9.34,3.13,10.89%,4.22%,4.13M,8.52%,0.91,32.08,14.28%,7.19%,25.09,34.58,-0.78%,0.27 (0.93%),17.81,18.47%,5.80%,-15.61%,1.17,0.31 (1.06%),1.95,0.20%,39.86%,16.30%,0.67,"May 17, 2024",3.31,95.74%,15.14%,36.73,2.41%,2.03%,2400,0.33,8.34%,8.11%,2.25,35.14,Yes / Yes,0.33,52.74%,45.61%,1.01,28.76,1.18%,12.06%,0.46%,Apr 23 AMC,914.49K,29.18,-3.47%,-6.74%,-2.92%,"

","921,795",1.46%,ZWS
Zuora Inc,Technology,Software - Infrastructure,USA,NYSE,RUT,-,-0.44,7.57%,137.79M,4.58%,1.42B,18.53,0.52,-8.55%,136.89M,-5.42%,-62.61M,-,0.09,73.67%,5.59%,12.28%,438.33M,3.24,29.09%,-0.36%,4.81,2.13%,0.94,10.21,21.60%,-8.44%,7.66M,-12.49%,3.69,2.60,-,-51.53%,7.05,11.80,2.13%,-,-,9.40%,-11.66%,-18.64%,1.72,-,2.50,12.97%,67.51%,36.17%,0.31,-,2.50,50.48%,-8.58%,48.63,3.89%,3.00%,1618,2.90,7.97%,-14.28%,1.67,12.33,Yes / Yes,2.85,34.02%,-,0.60,9.73,0.88%,61.76%,6.47%,May 22 AMC,1.59M,9.60,-0.43%,-2.93%,8.57%,"

","948,414",-1.34%,ZUO
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,33.70,5.19,0.08%,458.37M,4.07%,79.77B,27.36,6.39,-5.51%,455.93M,3.10%,2.39B,3.53,1.49,95.64%,1.51%,5.94%,8.73B,9.13,8.35%,0.02%,2.16,-11.43%,11.07,15.79,10.82%,17.02%,6.88M,1.51%,4.33,40.39,9.53%,50.06%,144.80,201.92,-11.43%,1.74 (0.99%),45.58,11.57%,20.26%,-13.43%,0.86,1.61 (0.92%),1.94,8.05%,68.34%,20.73%,4.23,"Jul 18, 2024",3.33,17.17%,35.97%,55.41,2.73%,2.20%,14100,1.34,7.91%,27.38%,1.22,214.49,Yes / Yes,1.33,9.89%,30.71%,0.75,172.58,1.70%,2.54%,9.50%,May 02 BMO,3.19M,174.81,0.99%,3.89%,-1.16%,"

","2,385,077",1.29%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,14.39,1.43,1.10%,606.77M,-4.55%,12.35B,10.47,1.96,0.00%,593.93M,-9.74%,1.19B,0.96,0.43,39.03%,2.98%,-6.67%,5.52B,2.24,13.81%,3.55%,4.58,-3.34%,9.92,2.07,18.37%,9.82%,17.67M,-17.98%,4.58,4.49,15.01%,15.03%,15.90,28.04,-3.34%,0.70 (3.41%),-,13.37%,13.12%,-26.64%,-0.11,0.62 (3.01%),1.11,15.78%,31.20%,29.41%,0.61,"Apr 09, 2024",1.15,7.93%,24.81%,33.42,2.53%,2.54%,23554,0.27,3.63%,21.49%,1.32,28.86,Yes / Yes,0.13,-18.31%,0.00%,0.38,20.71,5.91%,-23.59%,4.72%,May 15 AMC,3.85M,20.57,-7.68%,-7.46%,-4.09%,"

","1,445,929",-0.68%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.50,39.88%,147.17M,7.75%,29.73B,59.04,3.33,-0.18%,90.87M,15.71%,-73.50M,-,0.70,47.32%,5.59%,4.20%,2.03B,14.64,68.40%,5.55%,2.37,-11.24%,7.22,27.22,10.50%,-1.99%,5.08M,34.42%,14.82,13.27,26.82%,-8.68%,131.59,259.61,-11.24%,-,54.05,-17.41%,-3.23%,-24.25%,0.84,-,1.67,53.60%,77.75%,49.45%,6.23,-,1.67,73.33%,-6.90%,65.31,3.63%,3.18%,5962,1.13,37.16%,-3.62%,1.52,231.01,Yes / Yes,1.08,139.17%,-,0.80,198.62,3.19%,33.96%,32.09%,May 30 AMC,2.14M,196.66,7.97%,10.97%,2.01%,"

","1,720,882",-0.99%,ZS
Zentalis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-3.36,12.49%,70.77M,-15.00%,253.51M,-,-3.63,-0.47%,62.14M,-69.95%,-218.90M,-,-0.84,113.60%,28.72%,-75.26%,40.56M,6.25,40.00%,-0.93%,13.61,-76.44%,6.46,0.55,-35.33%,-41.82%,17.84M,-87.34%,6.89,0.52,-,-51.86%,3.93,29.04,-76.44%,-,-,-50.05%,-43.66%,-87.71%,1.70,-,9.19,-20.00%,96.66%,-9.16%,0.81,-,9.19,21.74%,-527.00%,18.78,9.52%,13.05%,168,0.10,-,-539.70%,2.27,10.70,Yes / Yes,0.09,113.26%,-,0.99,4.19,170.40%,118.25%,-,May 07 BMO,1.31M,3.57,-53.26%,-64.85%,-73.80%,"

","1,301,230",-14.80%,ZNTL
Zoom Video Communications Inc,Technology,Software - Application,USA,NASD,-,21.70,2.69,22.24%,260.90M,0.95%,18.04B,11.42,5.11,-0.34%,240.46M,-4.89%,838.33M,14.46,1.21,59.97%,4.11%,-8.53%,4.56B,3.95,-3.15%,-0.53%,3.02,-18.87%,26.83,2.17,1.29%,8.90%,9.88M,-14.05%,23.88,2.44,1.50%,11.31%,55.63,75.90,-18.87%,-,10.97,-,10.05%,-23.14%,-0.06,-,4.36,95.81%,74.87%,4.87%,1.38,-,4.36,19565.00%,17.35%,42.52,1.90%,2.33%,7420,0.01,3.13%,18.37%,2.57,75.05,Yes / Yes,0.00,1250.20%,0.00%,0.58,59.21,1.35%,13.52%,3.25%,May 20 AMC,3.27M,58.34,-2.25%,-4.66%,-10.19%,"

","1,903,663",-1.47%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-3.50,0.54%,99.12M,-6.21%,1.72B,-,-1.61,-17.89%,98.59M,-2.31%,-338.95M,-,-0.71,43.50%,2.83%,8.29%,291.07M,5.92,17.87%,-2.05%,4.64,-36.44%,7.83,2.22,43.38%,-31.41%,2.79M,-37.36%,7.57,2.29,-,-38.44%,13.48,32.60,-36.44%,-,-,-16.93%,-44.04%,-46.72%,1.05,-,4.43,2095.12%,62.86%,28.86%,0.94,-,4.63,18.13%,-129.65%,40.39,4.50%,4.60%,2175,0.08,25.94%,-116.45%,1.17,52.28,Yes / Yes,0.01,-7.51%,-,0.47,17.29,15.83%,40.53%,38.78%,May 08 AMC,601.82K,17.37,-7.50%,-4.83%,-20.54%,"

","285,559",0.46%,ZLAB
ZKH Group Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,-,-0.79,8.87%,127.44M,-3.59%,479.17M,6.03,0.62,0.00%,116.14M,-60.25%,-126.89M,-,0.00,0.52%,0.13%,-76.65%,1.20B,0.40,128.67%,-,1.14,-76.95%,2.82,1.33,2411.11%,-4.29%,0.15M,-,2.21,1.70,-,-9.63%,3.19,21.91,-76.95%,-,-,-,-27.40%,-82.84%,-,-,1.63,26.18%,16.84%,17.87%,0.90,-,1.82,18.59%,-4.42%,29.34,4.27%,20.26%,3476,0.28,-3.00%,-10.53%,1.00,15.75,No / Yes,0.04,44.09%,-,0.58,3.78,-5.59%,-26.47%,-8.66%,May 21 BMO,135.43K,3.76,-42.94%,-60.34%,-73.86%,"

","78,198",-0.53%,ZKH
ZipRecruiter Inc,Industrials,Staffing & Employment Services,USA,NYSE,RUT,25.76,0.36,30.33%,76.17M,5.41%,908.69M,-,-0.11,-0.63%,69.19M,-9.50%,37.58M,2.50,-0.07,51.12%,4.88%,-17.64%,584.21M,1.56,-160.13%,-1.82%,6.18,-34.17%,0.13,71.81,60.76%,5.70%,3.37M,-48.48%,5.17,1.77,10.30%,855.40%,8.27,19.29,-34.17%,-,9.25,-,6.67%,-52.57%,1.19,-,6.58,17.01%,89.88%,10.71%,0.29,-,6.58,-27.43%,12.87%,45.00,2.54%,3.18%,1000,43.95,-32.16%,6.43%,2.44,12.25,Yes / Yes,43.55,-244.08%,0.00%,0.52,9.05,1.01%,-15.68%,-33.48%,May 09 AMC,545.89K,9.15,-0.58%,-6.80%,-23.80%,"

","286,406",1.10%,ZIP
