Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROIC,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.20,0.98,11.57%,168.52M,-3.65%,5.96B,24.08,1.47,-57.94%,148.79M,-5.70%,169.50M,4.65,0.36,91.77%,3.56%,5.99%,1.58B,3.77,4.79%,1.21%,5.61,-11.52%,9.19,3.85,9.60%,6.29%,5.29M,13.53%,0.86,41.16,7.78%,10.49%,27.74,41.15,-5.09%,0.37 (1.04%),22.90,-7.41%,8.11%,-13.97%,1.02,0.35 (0.99%),1.72,-5.41%,41.66%,27.61%,0.73,"May 20, 2025",2.87,38.39%,16.67%,46.72,1.37%,1.54%,2500,0.36,3.22%,10.72%,2.25,37.00,Yes / Yes,0.35,29.71%,35.98%,0.75,35.57,1.36%,6.90%,4.01%,Apr 22 AMC,943.05K,35.40,-2.07%,3.03%,-1.35%,"

","710,364",-0.48%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,29.03,5.57,0.10%,446.04M,-3.25%,71.98B,23.68,6.83,-0.65%,444.77M,-0.84%,2.52B,3.53,1.62,95.98%,2.37%,-1.68%,9.29B,7.75,5.38%,0.31%,3.69,-9.60%,10.44,15.49,9.43%,17.70%,10.54M,-5.63%,3.87,41.82,8.23%,51.85%,139.70,200.33,-0.77%,1.99 (1.23%),31.55,11.91%,25.04%,-19.30%,0.94,1.86 (1.15%),1.04,8.14%,69.48%,15.73%,3.87,"Jul 18, 2025",1.74,7.23%,37.01%,45.54,1.85%,1.40%,13800,1.45,6.32%,27.12%,1.47,200.31,Yes / Yes,1.16,7.88%,32.86%,0.77,164.38,1.37%,5.00%,1.37%,May 06 BMO,2.85M,161.67,-2.65%,1.78%,-5.47%,"

","2,197,872",-1.65%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,10.97,1.57,0.86%,593.65M,-2.27%,10.22B,9.47,1.82,0.00%,588.53M,-7.77%,1.30B,0.99,0.40,22.11%,2.35%,-19.15%,6.26B,1.63,8.41%,-9.00%,4.66,-9.46%,10.73,1.61,12.66%,10.29%,13.84M,-23.36%,5.35,3.22,11.03%,15.68%,16.34,27.50,-11.92%,0.68 (3.95%),-,8.45%,15.06%,-37.38%,-0.18,0.70 (4.07%),1.02,13.97%,29.66%,5.39%,0.47,"Apr 10, 2025",1.05,10.00%,24.06%,43.58,2.14%,2.69%,24471,0.27,13.41%,20.76%,1.38,23.41,Yes / Yes,0.01,38.73%,45.76%,0.72,17.70,-9.78%,-15.96%,8.02%,May 20 AMC,2.97M,17.22,-0.68%,-4.94%,-14.92%,"

","2,131,355",-2.71%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.78%,155.70M,3.13%,47.85B,84.08,3.65,-0.84%,96.88M,22.19%,-38.78M,-,0.80,54.85%,8.66%,52.44%,2.55B,18.79,0.04%,11.65%,3.18,48.92%,11.59,26.51,14.53%,-0.81%,8.39M,69.74%,19.30,15.92,11.75%,-2.68%,153.45,309.18,70.34%,-,69.23,-10.72%,-2.11%,-0.61%,1.09,-,1.18,48.24%,77.33%,100.27%,7.78,-,1.18,49.20%,-4.59%,82.57,0.36%,2.53%,7348,0.68,25.46%,-1.52%,1.64,312.77,Yes / Yes,0.02,-121.43%,-,1.09,305.02,1.74%,11.64%,22.57%,May 29 AMC,2.64M,307.31,8.83%,25.96%,49.58%,"

","2,883,505",0.75%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.39,3.33,14.64%,261.11M,-1.90%,23.57B,13.73,5.67,-1.64%,258.27M,-7.94%,1.05B,9.32,1.38,62.58%,3.20%,3.25%,4.70B,5.02,1.20%,1.83%,3.55,-10.51%,29.34,2.65,1.17%,9.87%,8.27M,34.45%,25.82,3.02,2.51%,12.19%,55.06,92.80,-4.55%,-,13.84,106.45%,11.73%,-16.06%,0.69,-,4.48,49.60%,75.85%,41.48%,1.56,-,4.48,24.11%,18.13%,43.03,1.23%,1.15%,7412,0.01,2.98%,22.31%,2.36,90.37,Yes / Yes,0.00,18.68%,0.00%,0.70,77.87,0.72%,9.22%,2.93%,May 21 AMC,2.33M,77.90,-2.55%,0.28%,0.63%,"

","1,629,429",0.04%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,108.42M,-6.95%,4.09B,96.37,0.39,-22.78%,108.40M,20.34%,-252.07M,-,-0.40,50.87%,4.71%,-1.85%,418.33M,9.77,48.02%,-4.49%,4.27,39.30%,7.48,4.98,128.58%,-23.32%,5.11M,89.03%,7.80,4.77,-,-32.05%,16.01,44.34,42.12%,-,-,-3.18%,-30.63%,-16.06%,0.97,-,3.09,98.38%,63.45%,132.48%,1.97,-,3.26,28.63%,-64.09%,55.20,5.40%,4.85%,1869,0.24,43.72%,-60.26%,1.31,53.56,Yes / Yes,0.02,18.43%,-,0.89,40.63,-5.41%,92.78%,22.19%,May 08 BMO,1.20M,37.22,5.44%,15.71%,27.63%,"

","1,068,058",-8.39%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-0.53%,6.61B,12.02,2.17,-,-,-11.04%,-710.26M,-,-0.86,4.01%,-,-9.19%,11.52B,0.57,61.77%,-2.40%,1.34,-7.41%,-12.89,-,249.48%,-11.48%,1.03M,22.02%,5.39,4.84,-,-,13.00,33.32,-8.03%,-,-,-,-,-21.67%,0.14,-,0.45,118.66%,17.93%,100.77%,0.81,-,0.59,37.41%,-7.36%,48.13,1.02%,2.05%,17439,-,43.08%,-6.16%,1.00,39.65,Yes / Yes,-,66.34%,-,0.42,26.15,19.27%,-136.23%,47.60%,May 15 BMO,772.29K,26.10,-3.33%,6.39%,6.21%,"

","325,376",-0.19%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.21,5.13,1.68%,147.57M,-5.06%,6.98B,8.54,5.54,-1.38%,145.09M,-3.94%,756.00M,1.52,1.30,78.50%,3.87%,-1.97%,4.98B,1.40,5.12%,-2.10%,3.05,-18.69%,42.43,1.11,6.39%,0.91%,5.62M,14.37%,-,-,6.07%,13.06%,39.32,63.22,-12.85%,1.74 (3.68%),7.14,3.54%,10.04%,-25.21%,0.86,1.70 (3.60%),-,8.98%,-,20.24%,1.22,"May 15, 2025",0.15,28.90%,21.03%,47.04,1.49%,1.86%,9406,0.74,4.84%,15.17%,2.88,52.20,Yes / Yes,0.19,18.40%,33.52%,0.86,47.85,-0.18%,-4.71%,-0.83%,Apr 21 AMC,1.84M,47.28,-1.25%,1.81%,-7.97%,"

","1,590,474",-1.19%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.89,19.53,1.18%,120.46M,2.17%,2.10B,-,-1.97,0.00%,119.04M,-5.07%,2.35B,-,1.22,48.42%,18.20%,-7.15%,8.87B,0.24,-81.90%,-8.48%,3.08,-12.12%,32.86,0.53,-161.21%,23.04%,21.67M,-3.63%,19.19,0.91,-,72.40%,11.03,29.00,-18.96%,1.09 (6.24%),0.59,-,27.51%,-40.00%,1.75,7.61 (43.76%),1.10,20.63%,34.71%,57.68%,0.87,"Jun 02, 2025",1.18,192.29%,31.33%,53.36,4.07%,2.62%,6700,1.49,65.83%,26.52%,4.00,15.36,Yes / Yes,1.16,226.86%,22.25%,1.03,18.02,9.06%,30.79%,28.46%,May 19 BMO,7.04M,17.40,-0.06%,10.26%,-7.43%,"

","7,278,234",-3.44%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,27.56,0.33,78.19%,252.58M,3.91%,3.68B,18.26,0.50,0.00%,55.08M,4.51%,83.40M,1.42,-,11.96%,8.40%,24.52%,2.11B,1.75,22.66%,-5.02%,4.63,4.63%,3.76,2.41,17.25%,2.78%,4.62M,-24.60%,0.74,12.15,19.40%,8.89%,6.05,12.15,9.44%,0.15 (1.64%),19.01,-,4.94%,-25.60%,0.75,0.13 (1.43%),0.80,-,55.89%,49.42%,0.26,"Jul 07, 2025",1.41,-37.52%,9.45%,70.78,2.05%,1.30%,7395,1.13,2.26%,3.96%,2.75,8.77,Yes / Yes,0.78,-54950.00%,41.96%,0.66,9.04,-4.68%,-2.99%,-,Mar 27 BMO,999.72K,9.04,5.01%,12.41%,9.08%,"

","658,027",0.00%,ZGN
