Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,36.17,0.98,11.57%,168.52M,-1.86%,5.95B,24.06,1.47,-57.94%,148.79M,-4.43%,6.36B,4.65,0.36,91.77%,3.56%,5.14%,169.50M,3.76,4.79%,1.13%,5.59,-10.64%,1.58B,3.85,9.60%,6.29%,5.29M,-5.17%,9.19,41.13,7.78%,10.49%,27.74,41.15,14.91%,0.86,22.88,32.18% -7.41%,8.11%,-14.05%,26.73%,0.37 (1.04%),18.10,19.81% -5.41%,41.66%,27.51%,141.01%,0.35 (0.99%),4.02,38.39%,16.67%,0.75%,1.38%,173.98%,"May 20, 2025",1.72,3.22%,10.72%,46.54,2.25,3.23% 0.62%,2.87,29.71%,-1.88%,1.03,37.00,35.98%,0.36,4.01%,2.18%,1.61,35.56,2500,0.35,Apr 22 AMC,-1.52%,946.56K,35.37,"Mar 29, 2012",Yes / Yes,6.90% 1.36%,"

","1,527,868",-0.53%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,28.22,5.57,0.10%,446.04M,-6.90%,69.97B,23.04,6.82,-0.65%,444.77M,-3.96%,75.00B,3.47,1.62,95.98%,2.37%,-3.67%,2.52B,7.54,5.38%,0.35%,3.63,-10.60%,9.29B,15.06,9.35%,17.70%,10.54M,-3.54%,10.44,40.66,8.13%,51.85%,139.70,200.33,-8.03%,3.87,30.68,8.55% 11.91%,25.04%,-21.54%,-0.40%,1.99 (1.27%),19.10,5.98% 8.14%,69.48%,12.51%,17.91%,1.86 (1.19%),8.08,7.23%,37.01%,2.38%,1.69%,220.23%,"Jul 18, 2025",1.04,6.32%,27.12%,40.74,1.58,18.93% 21.14%,1.74,7.88%,-4.99%,0.94,199.92,32.86%,1.45,1.37%,-1.28%,1.14,155.06,13800,1.16,May 06 BMO,-7.96%,2.90M,157.17,"Feb 01, 2013",Yes / Yes,5.00% 1.37%,"

","3,296,106",1.36%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,10.96,1.57,0.86%,593.65M,-3.21%,10.22B,9.46,1.82,0.00%,588.53M,-1.66%,9.48B,1.00,0.40,22.11%,2.35%,-14.55%,1.30B,1.63,8.31%,-8.97%,4.78,-11.15%,6.26B,1.60,12.66%,10.29%,13.84M,-11.97%,10.73,3.21,11.00%,15.68%,16.34,27.50,-23.20%,5.35,-,18.24% 8.45%,15.06%,-37.42%,-29.56%,0.68 (3.95%),4.91,9.28% 13.97%,29.66%,5.32%,-51.67%,0.70 (4.07%),1.51,10.00%,24.06%,1.89%,1.87%,-,"Apr 10, 2025",1.02,13.41%,20.76%,44.09,1.38,- -,1.05,38.73%,-0.67%,-0.18,23.42,45.76%,0.27,8.02%,-4.97%,0.40,17.06,24471,0.01,May 20 AMC,-14.79%,2.89M,17.21,"Oct 27, 2016",Yes / Yes,-15.96% -9.78%,"

","1,145,290",0.88%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.25,37.78%,155.70M,0.50%,47.17B,82.89,3.65,-0.85%,96.89M,20.24%,45.39B,-,0.80,54.86%,8.66%,48.83%,-38.78M,18.52,0.04%,9.94%,3.15,48.20%,2.55B,26.13,14.53%,-0.81%,8.39M,67.92%,11.59,15.69,11.75%,-2.68%,153.45,309.18,64.30%,19.30,68.25,41.55% -10.72%,-2.11%,-2.02%,113.17%,-,-,47.68% 48.24%,77.33%,97.42%,189.84%,-,17.82,49.20%,-4.59%,0.93%,2.52%,-,-,1.18,25.46%,-1.52%,75.39,1.68,- -,1.18,-121.43%,5.27%,1.09,312.77,-,0.68,22.57%,21.66%,1.26,305.41,7348,0.02,May 29 AMC,46.70%,2.66M,302.94,"Mar 16, 2018",Yes / Yes,11.64% 1.74%,"

","3,362,005",-0.81%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,23.42,3.33,14.65%,261.11M,0.75%,23.60B,13.75,5.67,-1.63%,258.23M,-6.15%,15.85B,9.33,1.38,62.59%,3.20%,2.58%,1.05B,5.02,1.20%,-0.42%,3.55,-6.93%,4.70B,2.66,1.17%,9.87%,8.27M,-4.44%,29.34,3.02,2.51%,12.19%,55.06,92.80,36.94%,25.82,13.86,-10.66% 106.45%,11.73%,-15.96%,-27.02%,-,15.03,4.40% 49.60%,75.85%,41.65%,-67.37%,-,3.37,24.11%,18.13%,0.92%,1.17%,-,-,4.48,2.98%,22.31%,44.27,2.36,- -,4.48,18.68%,-1.83%,0.69,90.37,0.00%,0.01,2.93%,-0.13%,1.32,77.48,7412,0.00,May 21 AMC,0.63%,2.33M,77.99,"Apr 18, 2019",Yes / Yes,9.22% 0.72%,"

","3,074,559",0.66%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.50,1.31%,109.84M,-19.71%,3.79B,80.95,0.43,-22.78%,109.14M,5.88%,3.13B,-,-0.40,50.87%,4.68%,-7.45%,-252.07M,9.07,48.41%,-5.65%,4.24,31.97%,418.33M,4.62,131.82%,-23.32%,5.11M,31.92%,7.48,4.43,-,-32.05%,16.01,44.34,82.03%,7.80,-,30.00% -3.18%,-30.63%,-22.08%,43.96%,-,-,40.35% 98.38%,63.45%,115.80%,-52.91%,-,7.48,28.63%,-64.09%,4.06%,5.11%,-,-,3.09,43.72%,-60.26%,47.42,1.38,- -,3.26,18.43%,-2.98%,0.95,52.18,-,0.24,22.19%,6.38%,0.89,36.93,1869,0.02,May 08 BMO,17.83%,1.21M,34.55,"Sep 20, 2017",Yes / Yes,92.78% -5.41%,"

","1,078,796",-6.44%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-2.84,-,253.10M,-1.37%,6.57B,11.95,2.17,-,-,-9.08%,10.09B,-,-0.86,4.01%,-,-0.99%,-710.26M,0.57,61.81%,-2.40%,1.37,-3.93%,11.52B,-,249.48%,-11.48%,1.03M,-8.60%,-12.89,4.81,-,-,13.00,33.32,26.72%,5.39,-,5.46% -,-,-22.15%,-,-,-,118.43% 118.66%,17.93%,99.54%,-,-,0.88,37.41%,-7.36%,0.64%,1.80%,-,-,0.45,43.08%,-6.16%,46.71,1.00,- -,0.59,66.34%,-2.80%,0.16,39.64,-,-,47.60%,4.72%,1.24,25.95,17439,-,May 15 BMO,5.14%,754.08K,25.94,"May 10, 2024",Yes / Yes,-136.23% 19.27%,"

","933,309",-0.04%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.46,5.13,1.68%,147.57M,-0.29%,7.17B,8.78,5.54,-1.33%,145.09M,-0.10%,-,1.56,1.30,78.50%,3.87%,-2.14%,756.00M,1.44,5.14%,-2.11%,3.08,-15.72%,4.98B,1.14,6.37%,0.91%,5.62M,-10.45%,42.43,-,6.07%,13.06%,39.32,63.22,17.74%,-,7.34,-9.99% 3.54%,10.04%,-23.16%,-6.25%,1.74 (3.58%),-,19.10% 8.98%,-,23.55%,34.57%,1.70 (3.50%),-,28.90%,21.03%,1.40%,1.66%,52.05%,"May 15, 2025",-,4.84%,15.17%,53.78,2.88,4.85% 5.34%,0.15,18.40%,1.29%,0.86,52.20,33.52%,0.74,-0.83%,4.06%,0.81,48.33,9406,0.19,Apr 21 AMC,-5.43%,1.82M,48.58,"Mar 17, 1980",Yes / Yes,-4.71% -0.18%,"

","1,483,665",0.52%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.85,19.53,1.18%,120.46M,-0.24%,1.99B,-,-1.97,0.00%,119.04M,-12.31%,5.56B,-,1.22,48.42%,18.20%,-8.01%,2.35B,0.22,-81.90%,-8.44%,3.12,-15.27%,8.87B,0.50,-161.21%,23.04%,21.67M,-23.01%,32.86,0.86,-,72.40%,11.03,29.00,-8.78%,19.19,0.56,-23.79% -,27.51%,-43.00%,-65.60%,1.09 (6.57%),1.40,-7.73% 20.63%,34.71%,49.80%,-,7.61 (46.07%),0.63,192.29%,31.33%,4.61%,2.90%,-,"Jun 02, 2025",1.10,65.83%,26.52%,46.51,4.00,16.67% -,1.18,226.86%,-4.32%,1.75,15.36,22.25%,1.49,28.46%,3.47%,1.50,17.72,6700,1.16,May 19 BMO,-12.03%,6.94M,16.53,"Jan 28, 2021",Yes / Yes,30.79% 9.06%,"

","10,414,923",-6.72%,ZIM
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,-,26.95,0.33,78.19%,252.58M,2.20%,3.60B,17.84,0.50,0.00%,55.08M,2.91%,4.44B,1.39,-,11.93%,8.40%,20.60%,83.40M,1.71,22.05%,-5.02%,4.64,-0.34%,2.11B,2.35,17.78%,2.78%,4.62M,7.02%,3.76,11.88,19.35%,8.89%,6.05,12.15,-24.89%,0.74,18.59,- -,4.94%,-27.24%,-13.76%,0.15 (1.68%),10.04,11.29% -,55.89%,46.12%,-,0.13 (1.46%),2.11,-37.52%,9.45%,2.80%,1.41%,-,"Jul 07, 2025",0.80,2.26%,3.96%,60.11,2.75,15.87% -,1.41,-54950.00%,2.20%,0.74,8.77,41.68%,1.13,-,8.51%,1.10,9.06,7395,0.78,Mar 27 BMO,6.85%,995.81K,8.84,"Dec 20, 2021",Yes / Yes,-2.99% -4.68%,"

","1,094,559",-2.43%,ZGN
