Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-0.98,3.44%,74.85M,-5.10%,1.34B,-,-1.00,2.17%,73.13M,8.01%,1.08B,-,-0.29,102.22%,9.46%,26.12%,-73.68M,10.89,45.92%,0.64%,12.81,41.93%,122.87M,3.98,-14.62%,-15.95%,6.92M,20.70%,4.44,4.76,4.46%,-19.89%,19.50 -9.38%,31.08%,3.72,-,26.71% 15.81%,-21.07%,9.03 95.68%,207.30%,-,-,41.95% 20.90%,89.52%,3.84%,3.88%,-60.76%,-,8.75,35.69%,-67.32%,0.71,-,-,7.69,95.94%,-59.96%,58.04,1.18,- -,7.69,106.06%,1.40%,1.47,24.85,-,0.06,153.21%,10.22%,1.59,17.93,286,0.05,Nov 06 AMC,29.71%,540.19K,17.67,"Apr 28, 2017",Yes / Yes,106.22% 182.52%,"

","858,789",-1.45%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,45.90,1.01,11.53%,167.66M,-0.45%,7.78B,29.39,1.58,-1.72%,148.24M,-1.02%,8.14B,4.55,0.40,91.53%,3.96%,22.81%,174.00M,4.82,11.78%,-0.90%,5.49,42.30%,1.61B,4.98,10.49%,6.40%,5.86M,24.56%,9.33,38.56,10.08%,10.81%,48.42 -4.05%,24.22%,1.20,27.65,32.18% -7.41%,8.26%,27.74 67.48%,90.57%,0.37 (0.79%),22.68,19.81% -5.41%,41.82%,2.03%,1.98%,184.49%,0.36 (0.77%),5.04,30.64%,16.77%,0.99,414.61%,"Aug 20, 2025",1.72,4.74%,10.78%,50.52,2.44,3.23% 0.62%,2.71,12.98%,-0.34%,1.15,47.43,35.98%,0.36,7.89%,0.35%,0.60,47.07,2500,0.35,Oct 28 AMC,20.21%,1.07M,46.46,"Mar 29, 2012",Yes / Yes,17.06% 4.65%,"

","636,042",-1.30%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,25.31,5.81,0.17%,443.95M,3.51%,65.20B,21.30,6.91,-0.09%,442.43M,3.16%,70.55B,2.97,1.62,97.80%,1.80%,-3.74%,2.61B,6.95,7.27%,0.78%,2.62,-2.52%,9.38B,13.12,8.75%,18.24%,7.99M,-9.71%,11.21,45.43,8.53%,52.54%,189.98 -22.57%,-23.89%,3.24,29.38,8.55% 11.91%,25.07%,139.34 5.58%,-1.79%,1.99 (1.36%),17.61,5.98% 8.14%,70.03%,1.75%,1.88%,-9.74%,1.93 (1.31%),7.52,13.72%,37.51%,2.73,247.12%,"Oct 31, 2025",1.04,5.27%,27.83%,55.73,1.57,18.93% 21.14%,1.76,17.78%,2.04%,0.90,193.64,32.86%,1.36,4.19%,-0.88%,0.88,146.09,13800,1.09,Nov 04 BMO,-6.50%,3.04M,147.11,"Feb 01, 2013",Yes / Yes,8.60% 2.10%,"

","2,678,161",0.70%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,12.98,1.46,0.00%,593.65M,-0.05%,11.27B,11.22,1.69,-,593.65M,2.48%,10.29B,1.65,0.35,14.66%,3.06%,-6.23%,1.21B,1.76,-0.76%,-9.14%,9.45,-0.16%,6.42B,1.69,13.47%,9.38%,18.17M,-2.92%,11.20,3.04,7.88%,13.98%,25.35 -25.14%,-24.59%,6.24,-,18.24% 8.45%,13.37%,16.34 16.16%,-17.69%,0.62 (3.29%),5.59,9.28% 13.97%,27.49%,1.76%,2.29%,-31.69%,0.65 (3.42%),1.60,2.41%,21.97%,0.43,-,"Sep 30, 2025",1.19,14.40%,18.81%,49.92,1.44,- -,1.21,-25.19%,-0.28%,-0.19,23.21,45.76%,0.29,10.45%,-0.23%,0.60,19.01,24471,0.01,Aug 19 AMC,0.32%,1.92M,18.98,"Oct 27, 2016",Yes / Yes,-17.31% -2.87%,"

","1,154,416",-0.16%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.27,37.22%,158.30M,1.84%,48.74B,70.09,4.39,-0.56%,99.39M,6.44%,46.97B,-,0.86,53.34%,5.71%,8.31%,-41.48M,18.23,11.37%,-1.00%,3.70,53.51%,2.67B,27.09,20.27%,-0.75%,5.67M,70.68%,11.37,13.64,18.14%,-2.70%,319.89 -3.74%,62.05%,22.57,67.08,54.06% 21.31%,-1.17%,164.78 86.87%,111.95%,-,30698.15,34.81% 44.03%,76.82%,2.77%,3.09%,98.70%,-,17.57,31.04%,-4.48%,9.35,-,-,1.94,23.31%,-1.55%,56.87,1.60,- -,1.94,-14.36%,1.40%,1.06,327.51,-,1.00,21.31%,6.68%,0.76,310.37,7923,0.97,Sep 02 AMC,22.71%,1.53M,307.92,"Mar 16, 2018",Yes / Yes,11.25% 1.74%,"

","1,170,605",-0.79%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,21.60,3.80,11.19%,267.28M,3.14%,24.54B,13.84,5.93,-0.60%,265.81M,-0.69%,16.81B,5.18,1.44,64.58%,1.84%,8.44%,1.19B,5.16,5.55%,0.31%,1.55,12.60%,4.75B,2.75,1.35%,11.03%,4.90M,0.49%,29.82,3.15,4.17%,13.60%,92.80 -11.63%,16.29%,26.02,13.30,-10.66% 106.45%,13.23%,64.41 27.32%,6.94%,-,14.29,4.40% 49.60%,76.38%,2.18%,2.40%,-84.71%,-,3.54,36.57%,20.43%,1.98,-,-,4.36,3.63%,24.99%,52.29,2.26,- -,4.36,66.82%,0.76%,0.79,92.80,0.00%,0.01,4.71%,1.16%,0.48,83.61,7412,0.00,Aug 21 AMC,4.49%,3.16M,82.01,"Apr 18, 2019",Yes / Yes,11.14% 1.58%,"

","1,524,794",-1.91%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-2.05,2.04%,109.91M,-1.02%,3.24B,95.34,0.31,-17.87%,109.00M,-9.29%,2.60B,-,-0.26,37.42%,4.49%,-22.98%,-212.37M,7.57,45.71%,-3.56%,6.86,-13.47%,427.80M,4.04,121.62%,-19.74%,4.90M,11.07%,7.20,3.89,-,-28.39%,44.34 -34.39%,5.82%,7.48,-,30.02% -3.16%,-26.45%,23.82 22.12%,-1.26%,-,-,40.31% 98.33%,62.39%,3.56%,3.47%,-67.07%,-,6.07,33.47%,-57.71%,1.29,-,-,2.93,32.38%,-49.64%,38.84,1.29,- -,3.12,54.50%,-7.51%,1.09,53.97,-,0.24,9.81%,-10.06%,0.65,29.15,1869,0.01,Nov 06 BMO,-10.99%,714.51K,29.09,"Sep 20, 2017",Yes / Yes,-3.27% -11.98%,"

","463,113",-0.21%,ZLAB
ZEEKR Intelligent Technology Holding Ltd. ADR,Consumer Cyclical,Auto Manufacturers,China,NYSE,-,-,-1.84,-,253.10M,2.47%,7.66B,14.47,2.07,-,-,3.53%,11.15B,-,-0.23,4.30%,-,0.81%,-462.32M,0.61,56.04%,0.91%,1.18,45.50%,12.55B,-,222.69%,-7.04%,0.64M,5.36%,-13.26,5.38,-,-,33.32 -10.26%,34.02%,5.56,-,5.46% -,-,17.91 66.95%,-,-,-,118.43% 118.66%,18.90%,1.47%,2.02%,-,-,0.89,62.51%,-4.64%,0.83,-,-,0.49,39.14%,-3.68%,52.93,1.00,- -,0.59,82.59%,1.21%,0.12,35.47,-,-,37.06%,1.10%,0.79,30.02,17439,-,Aug 14 BMO,10.83%,548.09K,29.90,"May 10, 2024",Yes / Yes,72.37% -0.14%,"

","433,373",-0.40%,ZK
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.25,5.59,1.54%,147.64M,-4.33%,7.63B,8.60,6.01,-0.01%,145.34M,-9.77%,-,1.05,1.55,79.05%,4.08%,-6.32%,826.00M,1.54,16.58%,0.10%,3.20,16.63%,4.95B,1.12,4.20%,0.96%,5.92M,-4.72%,46.05,-,8.79%,12.75%,63.22 -18.24%,0.86%,-,9.53,-9.99% 3.54%,9.91%,39.32 31.46%,-0.37%,1.76 (3.40%),-,19.10% 8.98%,-,5.90%,3.51%,65.83%,1.74 (3.37%),-,27.77%,22.37%,2.09,85.94%,"Aug 14, 2025",-,0.12%,16.70%,42.53,2.74,4.85% 5.34%,0.14,7.81%,-5.35%,0.96,61.82,33.52%,0.76,-2.03%,-7.26%,1.03,52.70,9406,0.21,Oct 20 AMC,-1.12%,1.85M,51.69,"Mar 17, 1980",Yes / Yes,1.27% 2.13%,"

","1,906,822",-1.92%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,0.84,16.63,1.18%,120.46M,2.65%,1.68B,-,-3.41,0.00%,119.04M,-3.13%,5.83B,-,0.84,52.77%,18.09%,-15.46%,2.00B,0.20,-83.48%,1.39%,4.43,1.23%,8.58B,0.43,-215.75%,19.27%,21.53M,-35.07%,32.35,0.95,-,59.06%,29.00 -51.93%,-36.63%,14.72,0.52,-23.79% -,23.31%,11.03 26.33%,-40.63%,1.04 (7.49%),1.57,-7.73% 20.63%,32.33%,3.41%,3.42%,-,6.78 (48.64%),0.68,202.12%,28.74%,0.51,-,"Sep 02, 2025",1.11,43.57%,23.37%,53.18,3.78,16.67% -,1.20,-93.86%,3.15%,1.65,13.38,22.25%,1.52,-15.36%,-1.20%,0.74,13.64,6700,1.21,Aug 20 BMO,-14.06%,4.86M,13.94,"Jan 28, 2021",Yes / Yes,-76.51% -5.63%,"

","3,609,892",2.20%,ZIM
