Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Zymeworks BC Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-1.08,5.68%,74.64M,3.33%,1.83B,81.53,0.30,-4.26%,70.08M,2.36%,1.62B,-,-0.30,96.44%,5.82%,-7.84%,-81.13M,17.31,209.81%,-4.67%,5.39,51.47%,105.97M,6.91,-74.47%,-20.04%,4.08M,-6.23%,3.57,8.02,-,-26.72%,28.49 -13.34%,99.92%,3.08,-,- 21.35%,-28.64%,9.03 173.42%,201.10%,-,-,-36.43% 22.16%,89.81%,3.49%,5.01%,-23.35%,-,15.32,33.39%,-87.34%,1.15,-,-,5.88,38.87%,-76.56%,55.57,1.00,- -,5.88,-73.76%,2.66%,1.23,40.08,-,0.07,-91.90%,5.03%,0.51,24.23,264,0.06,Mar 02 BMO,27.96%,756.37K,24.69,"Apr 28, 2017",Yes / Yes,-19.28% -86.93%,"

","388,133",1.90%,ZYME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,RUT,38.62,1.16,11.57%,166.98M,1.75%,7.47B,24.60,1.82,-3.62%,147.50M,-11.50%,7.73B,2.53,0.36,90.08%,3.43%,-6.24%,198.00M,4.41,9.17%,-3.60%,5.04,-2.57%,1.70B,4.67,9.78%,7.22%,5.06M,-3.61%,9.60,24.87,9.72%,12.06%,53.17 -15.72%,31.95%,1.80,23.61,46.13% -2.00%,9.25%,27.74 61.54%,125.74%,0.44 (0.99%),20.48,9.78% -2.36%,41.64%,2.78%,2.84%,85.55%,0.40 (0.89%),4.56,25.84%,17.01%,1.37,350.61%,"Feb 20, 2026",2.07,8.26%,11.68%,36.50,2.25,23.86% 3.50%,3.13,17.38%,-4.23%,1.09,55.33,32.87%,0.35,9.85%,-7.08%,0.68,46.21,2600,0.34,Feb 03 AMC,-1.00%,1.00M,44.81,"Mar 29, 2012",Yes / Yes,6.04% 1.59%,"

","682,049",-3.03%,ZWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,19.37,6.02,0.20%,424.93M,0.55%,49.23B,15.46,7.55,-2.31%,421.27M,-9.55%,56.22B,1.84,1.62,99.78%,3.73%,-5.59%,2.67B,5.20,9.34%,-1.24%,3.47,-17.67%,9.47B,14.88,7.67%,18.00%,15.70M,-7.30%,7.84,21.29,8.38%,65.99%,172.23 -32.28%,-28.37%,5.48,21.56,10.25% 11.96%,21.26%,113.30 2.94%,-28.96%,2.19 (1.88%),13.77,5.42% 7.24%,70.49%,2.70%,2.73%,-25.31%,2.03 (1.74%),5.94,10.11%,38.00%,3.48,174.55%,"Apr 20, 2026",1.94,2.28%,28.23%,40.14,1.91,14.57% 19.02%,3.03,6.74%,-2.92%,0.98,149.73,33.71%,2.79,3.02%,-5.66%,0.60,116.71,14500,2.78,Feb 12 BMO,-15.06%,4.52M,116.63,"Feb 01, 2013",Yes / Yes,5.59% 1.14%,"

","2,725,126",-0.07%,ZTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,NYSE,-,15.54,1.55,0.00%,557.07M,-4.95%,13.38B,11.16,2.15,-,557.07M,-2.95%,11.46B,0.83,0.45,11.03%,3.51%,11.98%,1.26B,1.96,18.89%,2.51%,9.03,26.89%,6.84B,2.11,11.79%,9.85%,19.55M,14.98%,11.39,3.64,13.46%,14.05%,26.20 -8.32%,20.82%,6.59,-,7.85% 14.68%,13.23%,16.34 47.00%,-14.65%,0.77 (3.23%),6.32,9.14% 13.33%,25.00%,2.71%,2.57%,-13.58%,0.65 (2.71%),1.68,4.25%,19.63%,0.77,-,"Apr 08, 2026",1.45,11.11%,18.50%,49.49,1.41,- -,1.49,13.14%,0.40%,-0.15,28.74,43.04%,0.17,13.88%,1.57%,0.55,24.32,24471,0.01,Mar 17 AMC,17.34%,2.16M,24.02,"Oct 27, 2016",Yes / Yes,6.28% 1.87%,"

","1,179,564",-1.23%,ZTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zscaler Inc,Technology,Software - Infrastructure,USA,NASD,NDX,-,-0.43,35.69%,160.57M,-8.94%,22.75B,30.96,4.57,-0.09%,103.41M,-9.12%,21.10B,1.63,1.01,54.13%,7.57%,-38.30%,-67.63M,7.58,22.19%,4.18%,3.03,-50.25%,3.00B,10.35,14.03%,-1.15%,7.83M,-37.09%,13.68,6.48,19.03%,-3.56%,336.99 -58.01%,-33.11%,21.85,26.06,54.06% 21.31%,-1.69%,138.85 1.91%,26.42%,-,1225.52,34.81% 44.03%,76.28%,4.80%,4.91%,-16.66%,-,7.03,-326.25%,-4.54%,8.10,-,-,1.82,23.91%,-2.25%,33.61,1.39,- -,1.82,-327.24%,-7.38%,1.12,230.10,-,0.85,25.91%,-18.12%,0.75,139.44,7923,0.82,Feb 26 AMC,-44.53%,2.58M,141.50,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","1,932,411",1.48%,ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom Communications Inc,Technology,Software - Application,USA,NASD,-,12.77,6.21,9.99%,266.81M,3.36%,23.37B,12.89,6.15,-2.66%,265.23M,-7.15%,15.60B,3.88,1.42,69.96%,2.32%,-8.99%,1.90B,4.80,-0.74%,1.15%,1.54,-4.45%,4.87B,2.39,4.70%,16.56%,6.15M,-8.08%,33.19,2.99,3.32%,20.28%,97.58 -18.71%,1.98%,26.56,12.15,162.73% 22.38%,19.31%,64.41 23.15%,14.89%,-,12.42,3.49% 12.92%,77.02%,3.37%,3.75%,-75.21%,-,3.20,93.43%,23.08%,3.01,-,-,4.28,4.36%,39.03%,50.20,2.09,- -,4.28,91.72%,4.12%,0.91,97.42,0.00%,0.01,5.31%,-5.33%,1.06,78.11,7438,0.00,Feb 25 AMC,-2.91%,4.00M,79.32,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","4,249,912",1.55%,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zai Lab Limited ADR,Healthcare,Biotechnology,China,NASD,-,-,-1.61,1.70%,110.64M,-5.91%,1.96B,-,-1.14,-12.30%,110.17M,-9.70%,1.40B,-,-0.47,19.01%,4.44%,0.17%,-176.02M,4.25,-7.32%,-9.42%,6.70,-46.11%,461.41M,2.71,33.41%,-14.93%,4.89M,-0.74%,6.47,2.49,20.89%,-22.62%,44.34 -60.51%,-48.36%,7.05,-,29.68% 14.26%,-24.15%,15.96 9.71%,-44.76%,-,-,29.03% 56.57%,58.47%,3.77%,3.87%,-86.37%,-,3.03,38.14%,-49.86%,0.78,-,-,2.27,15.59%,-38.15%,40.70,1.25,- -,2.45,42.77%,-6.07%,0.88,33.84,-,0.31,17.92%,-5.77%,1.27,18.29,1784,0.02,Feb 26 BMO,-34.03%,730.20K,17.51,"Sep 20, 2017",Yes / Yes,-28.13% 4.45%,"

","926,291",-4.26%,ZLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zions Bancorporation N.A,Financial,Banks - Regional,USA,NASD,-,9.53,6.01,1.49%,147.65M,5.47%,8.47B,8.71,6.57,-2.37%,145.68M,-5.22%,-,2.09,1.31,81.12%,3.47%,-3.39%,884.00M,1.71,3.66%,0.76%,2.74,0.60%,4.94B,1.19,5.48%,1.00%,5.06M,-2.20%,48.18,-,4.17%,13.35%,66.18 -13.49%,13.01%,-,8.63,1.24% 14.71%,9.97%,39.32 45.60%,102.65%,1.82 (3.18%),-,14.19% 10.90%,-,2.72%,3.07%,2.51%,1.78 (3.11%),-,21.18%,23.77%,1.74,128.82%,"Feb 12, 2026",-,-1.00%,17.88%,52.47,2.62,3.66% 5.29%,0.36,31.00%,2.86%,0.81,66.36,29.30%,0.67,-0.08%,-2.84%,1.04,57.20,9195,0.23,Jan 20 AMC,2.57%,1.85M,57.25,"Mar 17, 1980",Yes / Yes,11.82% 3.04%,"

","1,922,612",0.09%,ZION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,NYSE,-,6.60,3.98,1.22%,120.47M,-2.63%,3.16B,-,-3.78,0.00%,119.00M,-10.10%,7.12B,-,-0.15,48.34%,5.02%,24.82%,479.20M,0.46,-152.59%,9.34%,1.56,80.66%,6.90B,0.79,-80.67%,4.28%,5.97M,23.65%,33.38,1.77,-,11.89%,29.97 -12.41%,69.68%,14.83,1.85,-53.07% -1.60%,5.56%,11.03 137.88%,17.83%,0.02 (0.09%),3.34,-18.09% 11.58%,16.76%,2.08%,2.58%,9.32%,1.99 (7.58%),1.03,-77.70%,12.28%,0.86,-,"Mar 20, 2026",1.15,-18.07%,6.94%,47.25,3.60,-46.24% -,1.23,-93.22%,-4.57%,1.46,22.82,107.58%,1.43,-31.50%,3.87%,0.43,26.44,6785,1.14,Mar 09 BMO,41.16%,3.82M,26.25,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","1,635,576",-0.72%,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermenegildo Zegna N.V,Consumer Cyclical,Apparel Manufacturing,Italy,NYSE,RUT,23.20,0.43,75.38%,254.09M,7.14%,4.05B,16.30,0.61,0.00%,62.55M,-14.57%,4.93B,0.98,-,24.37%,5.14%,-6.24%,111.78M,1.87,5.23%,0.40%,4.34,4.32%,2.17B,2.20,31.80%,3.57%,3.21M,-3.32%,4.51,11.67,16.61%,10.35%,11.93 -16.90%,39.97%,0.85,13.79,23.45% -,5.34%,6.05 63.80%,-24.41%,0.15 (1.49%),10.69,11.30% -,55.64%,4.77%,4.24%,1.12%,0.14 (1.43%),2.28,29.96%,8.54%,0.47,-,"Jul 07, 2025",0.91,2.91%,5.16%,44.59,1.92,- -,1.59,-54950.00%,-3.59%,0.75,11.83,42.68%,0.95,-,-3.86%,0.84,10.23,7437,0.73,Mar 20 BMO,2.54%,741.40K,9.91,"Dec 20, 2021",Yes / Yes,44.63% -2.54%,"

","623,513",-3.13%,ZGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
