Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Zymeworks BC Inc,Healthcare,Biotechnology,USA,Small,RUT,-,-1.37,3.50%,73.10M,2.09%,1.80B,45.29,0.54,-6.80%,71.00M,-12.39%,1.69B,-,-0.36,98.17%,6.55%,6.50%,-102.66M,22.09,244.95%,-5.91%,6.96,31.75%,81.26M,10.99,-65.58%,-22.72%,4.65M,-7.33%,2.22,4.92,-,-42.02%,29.75 -17.98%,106.43%,4.96,-,- 21.35%,-24.22%,11.02 121.42%,149.74%,-,-,-36.43% 22.16%,87.28%,4.77%,4.90%,-15.63%,-,20.85,8.99%,-140.35%,1.21,-,-,10.82,-12.98%,-126.33%,41.21,1.00,- -,10.82,-95.19%,-6.75%,1.17,40.15,-,1.61,-91.12%,-5.01%,0.92,24.43,264,1.59,May 07 AMC,12.29%,667.93K,24.40,"Apr 28, 2017",Yes / Yes,-98.79% -90.12%,"

","615,320",-0.12%,ZYME
Zurn Elkay Water Solutions Corp,Industrials,Pollution & Treatment Controls,USA,Mid,RUT,36.97,1.25,11.61%,167.03M,-6.83%,7.74B,24.13,1.92,-3.41%,147.49M,-2.95%,8.02B,2.05,0.47,90.22%,3.36%,-9.45%,213.30M,4.45,15.61%,-3.66%,4.81,0.63%,1.74B,4.82,9.37%,7.95%,4.96M,-0.26%,9.62,28.29,11.77%,13.33%,53.76 -13.75%,23.92%,1.64,24.36,46.13% -2.00%,9.96%,35.06 32.26%,106.73%,0.44 (0.96%),20.38,9.78% -2.36%,42.01%,2.55%,2.74%,87.30%,0.40 (0.86%),4.61,28.13%,17.61%,1.35,365.35%,"May 20, 2026",2.11,10.03%,12.26%,36.07,2.25,23.86% 3.50%,3.24,37.09%,-8.44%,1.12,56.22,32.87%,0.34,11.37%,-3.25%,0.70,48.02,2600,0.33,Apr 21 AMC,-2.09%,1.03M,46.37,"Mar 29, 2012",Yes / Yes,12.82% 3.36%,"

","724,172",-3.44%,ZWS
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,Large,S&P 500,13.07,6.04,0.57%,420.35M,2.57%,33.09B,10.64,7.42,-0.34%,416.85M,-35.69%,40.38B,1.38,1.86,101.57%,3.55%,-38.88%,2.64B,3.48,8.06%,4.82%,2.81,-34.68%,9.51B,10.26,7.13%,18.07%,14.80M,-37.28%,7.69,17.05,7.71%,67.01%,172.23 -54.18%,-51.86%,4.63,15.49,10.25% 11.96%,21.19%,72.38 9.04%,-56.05%,2.14 (2.71%),9.95,5.42% 7.24%,70.43%,4.41%,3.78%,-53.92%,2.06 (2.61%),4.25,8.35%,37.57%,4.30,69.98%,"Apr 20, 2026",1.91,2.40%,27.79%,23.60,1.77,14.57% 19.02%,3.15,1.02%,-19.83%,0.82,123.87,33.71%,2.86,1.89%,-28.43%,1.38,77.72,14500,2.86,May 07 BMO,-38.54%,5.27M,78.92,"Feb 01, 2013",Yes / Yes,-4.60% -1.71%,"

","7,287,877",1.54%,ZTS
ZTO Express (Cayman) Inc ADR,Industrials,Integrated Freight & Logistics,China,Large,-,15.23,1.55,0.00%,584.71M,-5.27%,13.17B,10.69,2.20,-,559.09M,-6.88%,11.24B,0.78,0.48,10.55%,2.39%,-6.99%,1.26B,1.93,19.79%,2.23%,7.44,24.34%,6.84B,1.96,11.96%,9.85%,13.38M,12.73%,12.01,3.59,13.64%,14.05%,26.20 -10.11%,23.75%,6.57,-,7.84% 14.67%,13.23%,16.68 41.19%,-18.09%,0.78 (3.32%),6.20,9.14% 13.33%,25.00%,2.47%,1.93%,-24.21%,0.69 (2.93%),1.64,4.25%,19.63%,0.57,-,"Apr 08, 2026",1.45,11.11%,18.50%,32.92,1.45,- -,1.49,13.11%,-5.75%,-0.20,29.24,43.05%,0.17,13.88%,-4.94%,1.05,23.55,23399,0.01,May 19 AMC,8.63%,1.80M,23.55,"Oct 27, 2016",Yes / Yes,-11.64% 5.71%,"

","1,892,332",0.00%,ZTO
Zscaler Inc,Technology,Software - Infrastructure,USA,Large,NDX,-,-0.43,35.38%,160.57M,19.89%,28.18B,38.34,4.57,-0.07%,103.91M,30.01%,26.53B,1.99,1.01,54.76%,9.79%,1.81%,-67.63M,9.39,22.33%,1.91%,3.20,-41.48%,3.00B,12.81,13.92%,-1.15%,10.18M,-22.08%,13.68,8.02,19.27%,-3.56%,336.99 -48.00%,-30.61%,21.85,32.27,54.06% 21.31%,-1.69%,114.62 52.89%,39.90%,-,1540.66,34.81% 44.03%,76.28%,7.54%,5.08%,6.33%,-,8.84,-326.25%,-4.54%,8.71,-,-,1.82,23.91%,-2.25%,72.74,1.49,- -,1.82,-327.24%,19.79%,1.01,221.15,-,0.85,25.91%,22.52%,1.36,174.69,7923,0.82,May 26 AMC,-22.36%,3.18M,175.25,"Mar 16, 2018",Yes / Yes,12.92% 2.18%,"

","4,313,529",0.32%,ZS
Zoom Communications Inc,Technology,Software - Application,USA,Large,-,15.68,6.21,10.00%,266.81M,-5.41%,28.70B,15.82,6.16,-1.90%,265.28M,7.54%,20.94B,4.77,1.42,69.98%,2.45%,6.88%,1.90B,5.90,-0.70%,0.67%,1.40,15.64%,4.87B,2.93,4.72%,16.56%,6.49M,12.86%,33.19,3.67,3.32%,20.28%,111.56 -12.70%,16.90%,26.56,14.92,162.73% 22.38%,19.31%,69.15 40.84%,40.39%,-,16.66,3.49% 12.92%,77.02%,3.48%,4.02%,-68.63%,-,4.30,93.43%,23.08%,3.95,-,-,4.28,4.36%,39.03%,50.81,2.12,- -,4.28,91.72%,-2.51%,1.01,98.42,0.00%,0.01,5.31%,10.30%,1.25,98.87,7438,0.00,May 21 AMC,14.98%,4.65M,97.39,"Apr 18, 2019",Yes / Yes,-3.21% 1.04%,"

","5,800,285",-1.50%,ZM
Zai Lab Limited ADR,Healthcare,Biotechnology,China,Mid,-,-,-1.62,1.68%,111.02M,-5.94%,2.07B,-,-1.61,-21.41%,110.67M,-27.25%,1.54B,-,-0.60,24.15%,4.02%,-8.97%,-178.68M,4.55,-25.57%,-1.49%,5.76,-15.54%,454.68M,3.08,19.68%,-15.75%,4.45M,4.14%,5.96,2.72,18.44%,-24.26%,44.34 -58.57%,-44.32%,6.76,-,29.68% 14.26%,-26.51%,15.96 15.10%,-41.68%,-,-,29.03% 56.57%,57.91%,5.20%,4.85%,-88.39%,-,3.38,35.12%,-53.51%,1.14,-,-,2.19,8.57%,-39.30%,37.97,1.33,- -,2.40,-2.96%,-11.42%,0.83,33.03,-,0.35,-6.31%,-9.84%,0.81,18.86,1784,0.02,May 07 BMO,-22.25%,773.50K,18.37,"Sep 20, 2017",Yes / Yes,12.58% -8.14%,"

","626,580",-2.60%,ZLAB
Zions Bancorporation N.A,Financial,Banks - Regional,USA,Mid,-,9.36,6.43,1.59%,147.08M,-1.00%,8.86B,8.87,6.79,-2.33%,144.75M,-4.49%,-,1.36,1.55,80.60%,2.92%,-2.93%,946.00M,1.80,7.81%,-2.04%,2.56,18.03%,4.93B,1.23,4.78%,1.08%,4.23M,2.87%,49.16,-,6.52%,13.95%,66.18 -9.00%,22.70%,-,7.15,1.24% 14.71%,10.02%,45.52 32.29%,124.95%,1.83 (3.04%),-,14.19% 10.90%,-,1.88%,2.24%,4.88%,1.80 (2.99%),-,25.29%,24.96%,1.42,123.53%,"May 14, 2026",-,-1.12%,19.20%,45.57,2.57,3.66% 5.29%,0.14,37.45%,-2.61%,0.81,68.55,29.30%,0.36,-1.33%,1.35%,0.63,60.09,9195,0.30,Apr 20 AMC,5.12%,1.65M,60.22,"Mar 17, 1980",Yes / Yes,9.57% -0.84%,"

","1,047,244",0.22%,ZION
Zim Integrated Shipping Services Ltd,Industrials,Marine Shipping,Israel,Mid,-,6.43,3.98,1.75%,120.47M,-0.78%,3.08B,-,-2.92,0.00%,118.36M,-3.80%,7.03B,-,-0.63,42.79%,2.77%,-11.99%,479.20M,0.45,-146.33%,-8.99%,1.74,59.49%,6.90B,0.77,-58.21%,4.28%,3.27M,20.35%,33.38,1.72,-,11.89%,29.97 -14.75%,31.90%,14.83,1.81,-53.07% -1.60%,5.56%,12.33 107.22%,51.70%,0.08 (0.30%),3.30,-18.09% 11.58%,16.76%,1.38%,2.59%,-39.04%,1.99 (7.79%),1.02,-77.70%,12.28%,0.68,-,"Mar 20, 2026",1.15,-18.07%,6.94%,43.00,3.50,-46.24% -,1.23,-93.22%,-2.64%,1.18,25.22,107.58%,1.43,-31.50%,-3.52%,0.41,25.64,6785,1.14,May 20 BMO,24.86%,1.88M,25.55,"Jan 28, 2021",Yes / Yes,175.26% -5.16%,"

","778,722",-0.35%,ZIM
Ermenegildo Zegna NV,Consumer Cyclical,Apparel Manufacturing,Italy,Mid,RUT,29.31,0.43,72.82%,268.31M,1.05%,5.30B,19.83,0.63,-0.02%,72.91M,1.38%,6.18B,1.05,-,25.24%,5.06%,11.19%,111.78M,2.45,9.31%,1.01%,4.98,27.89%,2.17B,2.77,30.96%,3.57%,3.69M,22.15%,4.51,15.25,18.87%,10.35%,13.38 -6.43%,45.92%,0.82,18.02,23.45% -,5.34%,7.61 64.63%,4.25%,0.15 (1.21%),13.39,11.30% -,55.64%,2.91%,3.58%,28.02%,0.14 (1.13%),2.85,29.96%,8.54%,0.45,-,"Jul 06, 2026",0.91,2.91%,5.16%,55.89,1.92,8.37% -,1.59,-54950.00%,1.43%,0.82,13.19,32.60%,0.95,-,10.66%,0.97,12.69,7437,0.73,Mar 20 BMO,22.61%,740.87K,12.52,"Dec 20, 2021",Yes / Yes,44.68% -0.65%,"

","721,395",-1.34%,ZGN
