Company,Sector,Industry,Country,Cap,Exchange,Index,Market Cap,Enterprise Value,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Dividend Gr. 3/5Y,Payout,Employees,IPO,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EV/EBITDA,EV/Sales,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,Option/Short,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next Y Percentage,EPS next 5Y,EPS past 3/5Y,Sales past 3/5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,Earnings,EPS/Sales Surpr.,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROIC,Gross Margin,Oper. Margin,Profit Margin,SMA20,SMA50,SMA200,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W High,52W Low,Volatility W,Volatility M,ATR (14),RSI (14),Beta,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Recom,Target Price,Prev Close,Price,Change %,Ticker
NVIDIA Corp,Technology,Semiconductors,USA,Mega,NASD,"DJIA, NDX, S&P 500",5505.64B,5445.14B,192.88B,302.97B,9.48,4.12,0.74 (0.33%),0.28 (0.12%),"Sep 10, 2026",25.99% 14.87%,0.82%,42000,"Jan 22, 1999",28.88,14.61,0.23,18.17,24.09,55.41,43.35,27.05,17.97,3.85,4.59,0.17,0.16,Yes / Yes,7.91,15.64,2.47,94.72%,68.36%,64.31%,204.08% 95.27%,100.05% 66.90%,124.42%,83.38%,128.21%,105.85%,Aug 26 AMC,6.22% 4.28%,3.80%,-0.51%,72.32%,0.40%,83.68%,117.21%,72.42%,74.67%,65.21%,63.66%,3.95%,8.85%,16.28%,"

",24.15B,23.18B,1.23%,2.08,285.96M,236.54 -3.42%,164.07 39.24%,3.48%,2.65%,7.46,59.21,2.22,0.98,137.81M,"134,681,610",0.21%,4.21%,4.48%,24.60%,22.49%,33.89%,370.94%,900.09%,14513.79%,1.21,334.32,224.41,228.45,1.80%,NVDA
Apple Inc,Technology,Consumer Electronics,USA,Mega,NASD,"DJIA, NDX, S&P 500",4789.96B,4811.90B,128.93B,466.82B,7.36,4.28,1.08 (0.33%),1.06 (0.32%),"Aug 10, 2026",4.26% 4.98%,13.66%,166000,"Dec 12, 1980",37.62,34.41,2.75,10.26,44.59,76.76,35.04,28.65,10.31,0.93,1.00,0.78,0.66,Yes / Yes,8.72,9.54,1.98,18.34%,8.04%,12.50%,6.89% 17.91%,1.81% 8.71%,32.57%,14.24%,29.13%,16.36%,Jul 30 AMC,6.77% 0.35%,0.12%,-2.25%,68.91%,0.16%,36.08%,148.75%,72.08%,48.65%,33.17%,27.62%,4.92%,4.44%,15.73%,"

",14.61B,14.58B,0.80%,2.13,116.33M,344.57 -4.75%,225.95 45.26%,2.49%,2.00%,7.38,63.38,1.07,0.68,54.62M,"37,225,838",4.33%,5.53%,5.46%,26.09%,20.73%,37.63%,73.23%,112.71%,1118.64%,2.13,333.19,324.96,328.21,1.00%,AAPL
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",4169.69B,4062.59B,244.12B,446.31B,50.90,19.72,0.80 (0.24%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Mar 27, 2014",17.03,22.50,1.24,9.34,6.66,17.20,78.27,22.91,9.10,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.07,3.02,90.27%,-26.72%,18.16%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.66% 2.89%,58.00%,-0.01%,28.69%,2.19%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.77%,-2.19%,1.36%,"

",5.53B,5.14B,0.83%,2.04,42.89M,404.47 -16.17%,225.12 50.62%,1.89%,1.72%,7.94,46.88,1.20,0.61,21.03M,"12,858,301",0.41%,-5.85%,-8.18%,12.68%,8.06%,46.72%,147.87%,134.21%,779.06%,1.27,426.34,333.78,339.08,1.59%,GOOG
Alphabet Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"DJIA, NDX, S&P 500",4169.78B,4062.67B,244.12B,446.31B,50.90,19.92,0.80 (0.23%),0.85 (0.25%),"Sep 04, 2026",- -,7.68%,190820,"Aug 19, 2004",17.21,22.71,1.24,9.34,6.73,17.20,78.27,22.91,9.10,2.64,2.72,0.18,0.18,Yes / Yes,19.91,15.08,3.02,90.28%,-26.67%,18.24%,33.35% 29.82%,12.78% 17.18%,112.71%,20.23%,294.02%,23.98%,Jul 22 AMC,216.61% 2.88%,52.20%,-0.01%,39.84%,2.22%,34.30%,48.68%,32.33%,60.94%,33.96%,54.70%,-0.56%,-1.78%,2.03%,"

",5.87B,5.85B,1.24%,2.34,72.71M,408.61 -16.18%,224.79 52.36%,1.91%,1.80%,8.25,47.76,1.21,0.67,31.08M,"20,726,904",0.54%,-5.50%,-7.98%,13.83%,9.42%,48.48%,152.45%,138.26%,759.56%,1.27,426.68,337.12,342.48,1.59%,GOOGL
Microsoft Corp,Technology,Software - Infrastructure,USA,Mega,NASD,"DJIA, NDX, S&P 500",3787.92B,3839.89B,133.75B,331.84B,59.56,10.35,3.90 (0.76%),3.64 (0.71%),"Aug 20, 2026",10.20% 10.20%,20.28%,223000,"Mar 13, 1986",28.43,21.73,1.19,11.41,8.56,49.29,56.55,19.33,11.57,1.22,1.23,0.29,0.25,Yes / Yes,17.95,23.48,4.71,14.14%,19.04%,18.29%,22.83% 17.38%,16.12% 14.57%,31.42%,17.79%,31.65%,17.75%,Jul 29 AMC,11.81% 2.72%,1.58%,-0.12%,76.66%,0.15%,19.42%,34.04%,24.22%,67.94%,46.78%,40.31%,2.90%,15.61%,18.33%,"

",7.43B,7.31B,0.94%,1.85,68.54M,553.72 -7.87%,349.20 46.08%,1.97%,1.92%,11.85,66.11,1.10,0.65,37.12M,"24,125,893",1.00%,4.65%,19.17%,24.21%,5.48%,0.94%,55.21%,69.40%,784.55%,1.25,565.88,496.82,510.12,2.68%,MSFT
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,Mega,NASD,"DJIA, NDX, S&P 500",2792.58B,2911.30B,135.28B,775.68B,51.16,11.43,-,-,-,- -,0.00%,1576000,"May 15, 1997",20.82,24.38,0.99,3.60,5.06,22.65,-,16.77,3.75,0.87,1.03,0.44,0.40,Yes / Yes,12.43,10.62,1.96,77.32%,-16.46%,24.57%,- 27.96%,11.73% 13.18%,88.63%,15.77%,241.83%,19.62%,Jul 30 AMC,215.36% 1.81%,9.06%,-0.15%,69.42%,0.98%,15.22%,30.56%,17.46%,50.77%,12.68%,17.44%,-1.56%,2.20%,8.33%,"

",10.78B,9.81B,0.97%,1.97,95.30M,287.20 -9.85%,196.00 32.09%,2.13%,2.02%,6.76,49.90,1.45,0.56,48.40M,"26,891,531",1.03%,-5.04%,2.01%,18.25%,12.17%,14.56%,87.45%,48.88%,570.34%,1.21,330.76,254.98,258.90,1.54%,AMZN
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,Mega,NYSE,-,2162.81B,2087.23B,71.86B,142.82B,38.93,21.29,4.14 (0.99%),3.50 (0.84%),"Sep 16, 2026",25.39% 14.54%,25.98%,-,"Oct 08, 1997",30.10,19.07,0.50,15.14,10.71,19.58,54.20,20.48,14.61,2.25,2.46,0.17,0.14,Yes / Yes,13.86,21.87,4.38,59.51%,30.66%,38.13%,17.37% 25.67%,17.20% 21.86%,57.78%,34.60%,73.31%,32.92%,Jul 16 BMO,10.78% -1.20%,0.08%,-3.91%,15.07%,-1.02%,26.90%,40.06%,31.23%,63.08%,55.84%,50.31%,-0.59%,-0.84%,12.07%,"

",5.19B,5.18B,0.58%,2.30,30.16M,479.00 -12.94%,228.60 82.42%,2.05%,2.11%,11.42,49.62,1.39,0.60,13.11M,"7,827,805",-2.41%,0.73%,-6.27%,17.85%,37.22%,80.22%,347.48%,236.38%,1331.06%,1.32,543.66,415.50,417.01,0.36%,TSM
Space Exploration Technologies Corp,Industrials,Aerospace & Defense,USA,Mega,NASD,NDX,2032.13B,1971.62B,-,-,9.66,7.38,-,-,-,- -,-,-,"Jun 12, 2026",-,-,-,-,15.51,20.28,-,-,-,4.99,5.12,0.31,0.29,Yes / Yes,-,-,0.14,-,-,-,-3.29% -,34.08% -,-,-,-,-,Aug 04 AMC,60.82% 14.46%,85.53%,-0.00%,10.38%,-0.01%,-,-,-,-,-,-,6.80%,10.04%,5.89%,"

",7.61B,1.96B,9.39%,1.63,184.39M,225.64 -33.64%,104.83 42.84%,4.27%,5.99%,7.97,60.29,-,1.08,112.84M,"121,333,582",6.30%,38.30%,-,-,-0.17%,-,-,-,-,1.68,225.87,140.71,149.74,6.42%,SPCX
Broadcom Inc,Technology,Semiconductors,USA,Mega,NASD,"NDX, S&P 500",1699.22B,1734.66B,38.27B,89.10B,18.43,5.04,2.61 (0.73%),2.54 (0.71%),"Jun 22, 2026",12.90% 12.67%,49.52%,33000,"Aug 06, 2009",45.58,18.44,0.29,19.07,19.38,70.87,43.12,33.33,19.47,2.29,2.50,0.60,0.57,Yes / Yes,7.84,19.36,3.80,70.08%,66.95%,63.44%,21.56% 49.76%,24.38% 21.74%,99.97%,48.69%,214.63%,85.50%,Sep 02 AMC,3.25% 1.20%,1.96%,-1.92%,80.80%,0.31%,21.63%,44.25%,24.39%,66.54%,48.57%,42.94%,-6.46%,-7.01%,-3.41%,"

",4.76B,4.66B,1.21%,2.20,56.21M,495.00 -27.85%,289.96 23.18%,2.84%,2.96%,13.53,37.51,1.47,2.35,25.58M,"60,242,595",-3.87%,-14.61%,-14.74%,7.33%,3.20%,18.11%,309.34%,617.65%,1963.20%,1.27,538.33,367.24,357.16,-2.74%,AVGO
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,Mega,NASD,"NDX, S&P 500",1555.71B,1577.07B,68.10B,228.25B,102.52,35.71,1.91 (0.31%),2.10 (0.34%),"Jun 15, 2026",- -,8.94%,78865,"May 18, 2012",23.00,18.03,0.97,6.82,5.96,17.10,37.97,14.38,6.91,2.23,2.23,0.43,0.42,Yes / Yes,26.55,33.87,6.75,33.67%,7.86%,18.57%,39.86% 18.41%,19.89% 18.51%,-5.02%,27.65%,-13.44%,27.96%,Jul 29 AMC,-14.02% 0.96%,13.64%,-0.04%,69.09%,-0.01%,18.29%,29.85%,18.35%,81.75%,38.08%,29.84%,6.09%,2.81%,-1.85%,"

",2.21B,2.20B,1.27%,1.54,28.05M,790.80 -22.78%,520.26 17.38%,3.32%,3.07%,20.70,60.69,1.21,1.09,18.18M,"19,737,139",6.93%,3.72%,-2.69%,-7.55%,-7.49%,-17.15%,106.05%,62.30%,382.71%,1.29,745.38,592.85,610.68,3.01%,META
